[TEMPLATE]

type,"push_pull"
name,"Prisoner's Dilemma (Push and Pull)"
description,""
creator,"MobLab"
editable,"true"
tags,"Collusion,Game Theory,categories_Game Theory,Repeated Game,Cooperation,categories_Classic Games,Prisoner's Dilemma,Push and Pull"
allow_proxy_play,"false"
passive_roles,""
show_timer,"true"
show_identity,"false"
play_with_robots,"false"
number_of_round,"5"
round_duration,"-1"
round_interval,"5"
maximal,"2"
type,"push_pull"
duration,"-1"
allow_chat,"false"
minimal,"2"
pull_amount,"50"
ending_probability,"100"
push_amount,"100"
desc,"You are paired with another player and each of you have to make a decision.  You could 'pull' some amount of money from an imaginary pile to yourself and keep it.  Or you could 'push' more money from the imaginary pile to your opponent and hope he would do the same, therefore getting more money for both of you.
What would you do?"
id,448302fe-9efd-45b5-a390-efe8cf44019b
matching,random
parent,5656ad9b-49ca-4f39-8d1e-84cc6b956af4



[GAME INFO]
period, group #,start_time,end_time, round_start_times,
1,1,1575416478956,1575416589869,1575416478956,-1,-1,-1,-1,
1,2,1575416479120,1575416589869,1575416479121,-1,-1,-1,-1,
1,3,1575416479122,1575416565797,1575416479122,1575416500127,1575416543411,1575416551043,1575416559498,
1,4,1575416479123,1575416585877,1575416479123,1575416545015,1575416559570,1575416567818,1575416577541,



[MOVE INFO]
period, group #,player #,player role,userid,move time,move name,additional data
1,1,2,player,-1108976682086793100,2001,"CHOOSE",0,1,
1,2,1,player,-4465079652822740500,2001,"CHOOSE",0,1,
1,3,1,player,308947,15003,"CHOOSE",0,1,
1,3,2,player,-60269517478353870,16004,"CHOOSE",0,1,
1,3,1,player,308947,58286,"CHOOSE",1,1,
1,3,2,player,-60269517478353870,59288,"CHOOSE",1,1,
1,3,2,player,-60269517478353870,65289,"CHOOSE",2,1,
1,3,1,player,308947,66920,"CHOOSE",2,1,
1,3,1,player,308947,73374,"CHOOSE",3,1,
1,3,2,player,-60269517478353870,75375,"CHOOSE",3,1,
1,3,2,player,-60269517478353870,81376,"CHOOSE",4,0,
1,3,2,player,-60269517478353870,81376,"CHOOSE",4,1,
1,3,1,player,308947,81674,"CHOOSE",4,1,
1,4,2,player,-2473583909054791700,2001,"CHOOSE",0,0,
1,4,1,player,308956,60891,"CHOOSE",0,1,
1,4,1,player,308956,74445,"CHOOSE",1,1,
1,4,2,player,-2473583909054791700,75446,"CHOOSE",1,0,
1,4,1,player,308956,82693,"CHOOSE",2,1,
1,4,2,player,-2473583909054791700,83694,"CHOOSE",2,1,
1,4,2,player,-2473583909054791700,89696,"CHOOSE",3,1,
1,4,2,player,-2473583909054791700,90696,"CHOOSE",3,1,
1,4,1,player,308956,93417,"CHOOSE",3,1,
1,4,1,player,308956,99752,"CHOOSE",4,1,
1,4,2,player,-2473583909054791700,101753,"CHOOSE",4,1,



[PLAYER INFO]
period, group #,player_number,user id,role,payoff,
1,1,1,307699,player,0,
1,1,2,-1108976682086793100,player,150,
1,2,1,-4465079652822740500,player,50,
1,2,2,307698,player,0,
1,3,1,308947,player,350,
1,3,2,-60269517478353870,player,200,
1,4,1,308956,player,450,
1,4,2,-2473583909054791700,player,150,



[CHAT INFO]
period, group #, player #, userid, time, recipient (player #), message





