[TEMPLATE]

type,"push_pull"
name,"Prisoner's Dilemma (Push and Pull)"
description,""
creator,"MobLab"
editable,"true"
tags,"Collusion,Game Theory,categories_Game Theory,Repeated Game,Cooperation,categories_Classic Games,Prisoner's Dilemma,Push and Pull"
allow_proxy_play,"false"
passive_roles,""
show_timer,"true"
show_identity,"false"
play_with_robots,"false"
number_of_round,"5"
round_duration,"-1"
round_interval,"5"
maximal,"2"
type,"push_pull"
duration,"-1"
allow_chat,"false"
minimal,"2"
pull_amount,"50"
ending_probability,"100"
push_amount,"100"
desc,"You are paired with another player and each of you have to make a decision.  You could 'pull' some amount of money from an imaginary pile to yourself and keep it.  Or you could 'push' more money from the imaginary pile to your opponent and hope he would do the same, therefore getting more money for both of you.
What would you do?"
id,a113ac44-61cb-4a07-8f2b-d0b01464f6c7
matching,random
parent,5656ad9b-49ca-4f39-8d1e-84cc6b956af4



[GAME INFO]
period, group #,start_time,end_time, round_start_times,
1,1,1574694868395,1574694965672,1574694868395,-1,-1,-1,-1,
1,2,1574694868565,1574694965672,1574694868565,-1,-1,-1,-1,
1,3,1574694868566,1574694954308,1574694868566,1574694901217,1574694919404,1574694932784,1574694947925,
1,4,1574694868567,1574694934098,1574694868568,1574694896998,1574694908461,1574694917534,1574694924666,



[MOVE INFO]
period, group #,player #,player role,userid,move time,move name,additional data
1,1,1,player,-1108976682086793100,2001,"CHOOSE",0,0,
1,2,2,player,-4465079652822740500,2001,"CHOOSE",0,1,
1,3,1,player,308208,25649,"CHOOSE",0,1,
1,3,2,player,-1583289398383398400,27650,"CHOOSE",0,1,
1,3,2,player,-1583289398383398400,34651,"CHOOSE",1,0,
1,3,1,player,308208,45836,"CHOOSE",1,0,
1,3,2,player,-1583289398383398400,51838,"CHOOSE",2,0,
1,3,1,player,308208,59217,"CHOOSE",2,1,
1,3,1,player,308208,73357,"CHOOSE",3,0,
1,3,2,player,-1583289398383398400,74358,"CHOOSE",3,1,
1,3,2,player,-1583289398383398400,80360,"CHOOSE",4,1,
1,3,1,player,308208,80741,"CHOOSE",4,1,
1,4,2,player,-3275517892163796000,1001,"CHOOSE",0,0,
1,4,1,player,308209,23429,"CHOOSE",0,0,
1,4,1,player,308209,32892,"CHOOSE",1,0,
1,4,2,player,-3275517892163796000,34893,"CHOOSE",1,0,
1,4,2,player,-3275517892163796000,40894,"CHOOSE",2,0,
1,4,2,player,-3275517892163796000,40894,"CHOOSE",2,0,
1,4,1,player,308209,43966,"CHOOSE",2,0,
1,4,2,player,-3275517892163796000,50968,"CHOOSE",3,1,
1,4,1,player,308209,51098,"CHOOSE",3,0,
1,4,2,player,-3275517892163796000,58100,"CHOOSE",4,0,
1,4,1,player,308209,60530,"CHOOSE",4,1,



[PLAYER INFO]
period, group #,player_number,user id,role,payoff,
1,1,1,-1108976682086793100,player,100,
1,1,2,307699,player,0,
1,2,1,307698,player,0,
1,2,2,-4465079652822740500,player,50,
1,3,1,308208,player,350,
1,3,2,-1583289398383398400,player,350,
1,4,1,308209,player,450,
1,4,2,-3275517892163796000,player,450,



[CHAT INFO]
period, group #, player #, userid, time, recipient (player #), message





