[TEMPLATE]

type,"push_pull"
name,"Prisoner's Dilemma (Push and Pull)"
description,""
creator,"MobLab"
editable,"true"
tags,"Collusion,Game Theory,categories_Game Theory,Repeated Game,Cooperation,categories_Classic Games,Prisoner's Dilemma,Push and Pull"
allow_proxy_play,"false"
passive_roles,""
show_timer,"true"
show_identity,"false"
play_with_robots,"false"
number_of_round,"5"
round_duration,"-1"
round_interval,"5"
maximal,"2"
type,"push_pull"
duration,"-1"
allow_chat,"false"
minimal,"2"
pull_amount,"50"
ending_probability,"100"
push_amount,"100"
desc,"You are paired with another player and each of you have to make a decision.  You could 'pull' some amount of money from an imaginary pile to yourself and keep it.  Or you could 'push' more money from the imaginary pile to your opponent and hope he would do the same, therefore getting more money for both of you.
What would you do?"
id,89ca2f9e-cb1b-4961-a4f8-2c3ec4f2fea2
matching,random
parent,5656ad9b-49ca-4f39-8d1e-84cc6b956af4



[GAME INFO]
period, group #,start_time,end_time, round_start_times,
1,1,1574358417976,1574358480936,1574358417976,-1,-1,-1,-1,
1,2,1574358418149,1574358480936,1574358418149,-1,-1,-1,-1,
1,3,1574358418151,1574358465202,1574358418151,1574358435302,1574358442303,1574358449691,1574358458352,
1,4,1574358418152,1574358459841,1574358418152,1574358428197,1574358435355,1574358442970,1574358450282,



[MOVE INFO]
period, group #,player #,player role,userid,move time,move name,additional data
1,3,1,player,307820,11148,"CHOOSE",0,0,
1,3,2,player,-2741634157238147600,12149,"CHOOSE",0,1,
1,3,1,player,307820,19131,"CHOOSE",1,1,
1,3,2,player,-2741634157238147600,19151,"CHOOSE",1,1,
1,3,2,player,-2741634157238147600,25152,"CHOOSE",2,0,
1,3,2,player,-2741634157238147600,26152,"CHOOSE",2,0,
1,3,1,player,307820,26539,"CHOOSE",2,1,
1,3,2,player,-2741634157238147600,32541,"CHOOSE",3,1,
1,3,1,player,307820,35200,"CHOOSE",3,1,
1,3,2,player,-2741634157238147600,41201,"CHOOSE",4,0,
1,3,1,player,307820,42050,"CHOOSE",4,1,
1,4,1,player,307653,4043,"CHOOSE",0,0,
1,4,2,player,-3386587378290694000,5044,"CHOOSE",0,0,
1,4,2,player,-3386587378290694000,11046,"CHOOSE",1,1,
1,4,2,player,-3386587378290694000,11046,"CHOOSE",1,1,
1,4,1,player,307653,12202,"CHOOSE",1,0,
1,4,2,player,-3386587378290694000,18203,"CHOOSE",2,1,
1,4,2,player,-3386587378290694000,19203,"CHOOSE",2,0,
1,4,1,player,307653,19816,"CHOOSE",2,0,
1,4,2,player,-3386587378290694000,26818,"CHOOSE",3,1,
1,4,1,player,307653,27129,"CHOOSE",3,1,
1,4,2,player,-3386587378290694000,33130,"CHOOSE",4,1,
1,4,1,player,307653,36688,"CHOOSE",4,1,



[PLAYER INFO]
period, group #,player_number,user id,role,payoff,
1,1,1,307699,player,0,
1,1,2,307698,player,0,
1,2,1,-4465079652822740500,player,0,
1,2,2,-1108976682086793100,player,0,
1,3,1,307820,player,400,
1,3,2,-2741634157238147600,player,250,
1,4,1,307653,player,200,
1,4,2,-3386587378290694000,player,500,



[CHAT INFO]
period, group #, player #, userid, time, recipient (player #), message





