[TEMPLATE]

type,"push_pull"
name,"Prisoner's Dilemma (Push and Pull)"
description,""
creator,"MobLab"
editable,"true"
tags,"Collusion,Game Theory,categories_Game Theory,Repeated Game,Cooperation,categories_Classic Games,Prisoner's Dilemma,Push and Pull"
allow_proxy_play,"false"
passive_roles,""
show_timer,"true"
show_identity,"false"
play_with_robots,"false"
number_of_round,"5"
round_duration,"-1"
round_interval,"5"
maximal,"2"
type,"push_pull"
duration,"-1"
allow_chat,"false"
minimal,"2"
pull_amount,"50"
ending_probability,"100"
push_amount,"100"
desc,"You are paired with another player and each of you have to make a decision.  You could 'pull' some amount of money from an imaginary pile to yourself and keep it.  Or you could 'push' more money from the imaginary pile to your opponent and hope he would do the same, therefore getting more money for both of you.
What would you do?"
id,f0cb2ce7-b005-440d-9d29-55c45e3e25c4
matching,random
parent,5656ad9b-49ca-4f39-8d1e-84cc6b956af4



[GAME INFO]
period, group #,start_time,end_time, round_start_times,
1,1,1575382695277,1575382773271,1575382695277,-1,-1,-1,-1,
1,2,1575382695447,1575382773271,1575382695448,-1,-1,-1,-1,
1,3,1575382695449,1575382744770,1575382695449,1575382704593,1575382713353,1575382723315,1575382735461,
1,4,1575382695450,1575382759226,1575382695450,1575382710325,1575382723078,1575382735678,1575382747921,



[MOVE INFO]
period, group #,player #,player role,userid,move time,move name,additional data
1,2,1,player,-4465079652822740500,1001,"CHOOSE",0,0,
1,3,2,player,-72697703801182350,1001,"CHOOSE",0,1,
1,3,1,player,308653,4143,"CHOOSE",0,0,
1,3,2,player,-72697703801182350,10144,"CHOOSE",1,0,
1,3,1,player,308653,12903,"CHOOSE",1,1,
1,3,2,player,-72697703801182350,19905,"CHOOSE",2,0,
1,3,1,player,308653,22865,"CHOOSE",2,0,
1,3,2,player,-72697703801182350,28866,"CHOOSE",3,1,
1,3,2,player,-72697703801182350,28866,"CHOOSE",3,0,
1,3,1,player,308653,35011,"CHOOSE",3,1,
1,3,2,player,-72697703801182350,42014,"CHOOSE",4,1,
1,3,1,player,308653,44320,"CHOOSE",4,0,
1,4,2,player,-1736859964902212000,1002,"CHOOSE",0,1,
1,4,1,player,308467,9874,"CHOOSE",0,1,
1,4,1,player,308467,21625,"CHOOSE",1,1,
1,4,2,player,-1736859964902212000,22626,"CHOOSE",1,0,
1,4,1,player,308467,33225,"CHOOSE",2,0,
1,4,2,player,-1736859964902212000,35226,"CHOOSE",2,0,
1,4,2,player,-1736859964902212000,41228,"CHOOSE",3,0,
1,4,1,player,308467,47470,"CHOOSE",3,0,
1,4,1,player,308467,56774,"CHOOSE",4,1,
1,4,2,player,-1736859964902212000,58775,"CHOOSE",4,0,



[PLAYER INFO]
period, group #,player_number,user id,role,payoff,
1,1,1,-1108976682086793100,player,0,
1,1,2,307699,player,0,
1,2,1,-4465079652822740500,player,0,
1,2,2,307698,player,0,
1,3,1,308653,player,300,
1,3,2,-72697703801182350,player,450,
1,4,1,308467,player,550,
1,4,2,-1736859964902212000,player,250,



[CHAT INFO]
period, group #, player #, userid, time, recipient (player #), message





