	(1)	(2)	(3)	(4)	(5)	(6)
VARIABLES	dpdcc	dpdcc	dpdcc	dpdcc	dpdcc	dpdcc
						
tg	0.0833	0.00500	0.0380	0.0645	0.0619	0.0767
	(0.0936)	(0.0770)	(0.0684)	(0.0792)	(0.129)	(0.121)
nat		0.166	0.183	0.112	0.00721	-0.0573
		(0.128)	(0.116)	(0.194)	(0.641)	(0.659)
tgNat		0.184	0.202	0.257	0.188	0.233
		(0.156)	(0.156)	(0.172)	(0.224)	(0.229)
age				-0.337***	-0.340***	-0.326***
				(0.0793)	(0.102)	(0.0975)
gender				0.148	0.139	0.150
				(0.130)	(0.147)	(0.160)
edu				0.393***	0.455***	0.394**
				(0.116)	(0.143)	(0.143)
tuk					-0.0199	-0.0259
					(0.0260)	(0.0251)
tus					-0.0203	-0.0164
					(0.0199)	(0.0219)
fampart				0.0410	0.0617	0.0572
				(0.0718)	(0.0788)	(0.0853)
famgt				-0.0202	0.00483	-0.0118
				(0.0476)	(0.0541)	(0.0606)
isecon					-0.0466	0.00580
					(0.213)	(0.199)
isling				0.389**	0.482**	0.427**
				(0.154)	(0.193)	(0.192)
isstem					0.0270	0.0620
					(0.173)	(0.161)
isss				-0.115	-0.104	-0.119
				(0.0883)	(0.165)	(0.179)
ishum				-0.188	-0.162	-0.176
				(0.111)	(0.136)	(0.139)
dpdcomp			0.000614*	0.000671**		0.000698**
			(0.000331)	(0.000319)		(0.000321)
Constant	0.417***	0.320***	0.268***	5.973***	6.232***	6.142***
	(0.0694)	(0.0680)	(0.0576)	(1.296)	(1.681)	(1.586)
						
Observations	40	40	40	40	40	40
R-squared	0.018	0.196	0.260	0.544	0.509	0.573
Robust standard errors in parentheses						
*** p<0.01, ** p<0.05, * p<0.1						
