	(1)	(2)	(3)	(4)	(5)	(6)
VARIABLES	ugcc1	ugcc1	ugcc1	ugcc1	ugcc1	ugcc1
						
tg	0.0271	-0.0558	-0.0223	0.0507	0.0247	0.0498
	(0.0882)	(0.0969)	(0.0820)	(0.0927)	(0.139)	(0.101)
nat		-0.202*	-0.103	-0.678	-0.677	-0.674
		(0.104)	(0.0781)	(0.597)	(0.774)	(0.593)
tgNat		0.129	-0.0679	-0.116	-0.0670	-0.117
		(0.181)	(0.164)	(0.140)	(0.217)	(0.187)
role		0.00857	0.121	0.130	0.0715	0.129
		(0.0964)	(0.0844)	(0.0973)	(0.108)	(0.108)
ugcc2	0.168	0.0314	0.668***	0.394	-0.0842	0.395
	(0.268)	(0.290)	(0.232)	(0.237)	(0.276)	(0.259)
age				-0.0545	-0.0698	-0.0538
				(0.0833)	(0.107)	(0.0903)
gender				0.0481	-0.0338	0.0473
				(0.0747)	(0.102)	(0.0896)
edu				0.0758	0.116	0.0745
				(0.106)	(0.150)	(0.127)
tuk				-0.00323	0.00581	-0.00302
				(0.0186)	(0.0287)	(0.0199)
tus				0.0221	0.0262	0.0223
				(0.0206)	(0.0266)	(0.0213)
fampart					-0.0323	-0.00131
					(0.0565)	(0.0564)
famgt					0.0230	-0.000350
					(0.0485)	(0.0497)
isecon				-0.180	-0.244	-0.180
				(0.115)	(0.153)	(0.121)
isling					0.112	-0.00266
					(0.144)	(0.182)
isstem				0.112	0.196*	0.112
				(0.0723)	(0.103)	(0.0774)
isss				0.274***	0.407***	0.275***
				(0.0927)	(0.110)	(0.0916)
ishum				0.298***	0.317**	0.299**
				(0.0967)	(0.127)	(0.113)
dugcomp			0.00228***	0.00172***		0.00172***
			(0.000405)	(0.000510)		(0.000553)
Constant	0.646***	0.859***	0.253	1.208	1.673	1.195
	(0.210)	(0.219)	(0.187)	(1.376)	(1.682)	(1.418)
						
Observations	40	40	40	40	40	40
R-squared	0.014	0.096	0.450	0.674	0.534	0.674
Robust standard errors in parentheses						
*** p<0.01, ** p<0.05, * p<0.1						
