	(1)	(2)	(3)	(4)	(5)
VARIABLES	ugcc1	ugcc1	ugcc1	ugcc1	ugcc1
					
tg	0.0257	0.0255	-0.0548	-0.0970	-0.0693
	(0.0528)	(0.0525)	(0.0678)	(0.0716)	(0.0660)
nat			-0.206***	-1.098***	-0.940***
			(0.0618)	(0.312)	(0.297)
tgNat			0.124	0.207**	0.136
			(0.105)	(0.104)	(0.0967)
ugcc2	0.0569	0.0418	-0.0211	0.0181	0.291***
	(0.100)	(0.0970)	(0.0969)	(0.0956)	(0.107)
role1	-0.000437	0.000585	0.0130	0.0484	0.0808
	(0.0516)	(0.0513)	(0.0535)	(0.0540)	(0.0499)
age				-0.0669	-0.0623
				(0.0517)	(0.0557)
gender				-0.0959	-0.0543
				(0.0602)	(0.0677)
edu				0.0846	0.0758
				(0.0733)	(0.0790)
tuk				-0.00645	-0.00549
				(0.0109)	(0.0101)
tus				0.0365***	0.0318***
				(0.0131)	(0.0116)
fampart					0.0122
					(0.0383)
famgt				0.0668**	0.0450
				(0.0295)	(0.0286)
dpay					0.00445***
					(0.000929)
prd2		-0.0887	-0.0884	-0.0886	-0.0270
		(0.0762)	(0.0734)	(0.0703)	(0.0684)
prd3		-0.0535	-0.0520	-0.0529	-0.00584
		(0.0728)	(0.0714)	(0.0697)	(0.0659)
prd4		-0.0716	-0.0737	-0.0724	-0.0272
		(0.0756)	(0.0740)	(0.0704)	(0.0636)
prd5		-0.183**	-0.185**	-0.184**	-0.113
		(0.0833)	(0.0817)	(0.0784)	(0.0715)
Constant	0.727***	0.817***	0.977***	2.104***	1.720*
	(0.0796)	(0.0894)	(0.0926)	(0.808)	(0.876)
					
Observations	200	200	200	200	200
R-squared	0.003	0.030	0.080	0.187	0.319
Robust standard errors in parentheses					
*** p<0.01, ** p<0.05, * p<0.1					
