	(1)	(2)	(3)	(4)	(5)
VARIABLES	dugcc	dugcc	dugcc	dugcc	dugcc
					
tg	0.0380	0.0380	-0.0747	-0.136*	-0.0833
	(0.0629)	(0.0629)	(0.0805)	(0.0810)	(0.0670)
nat			-0.111	-0.783**	-0.660**
			(0.0779)	(0.371)	(0.315)
tgNat			0.207	0.321**	0.154
			(0.127)	(0.126)	(0.106)
role1	-0.0640	-0.0640	-0.0735	-0.0344	0.0515
	(0.0622)	(0.0625)	(0.0654)	(0.0625)	(0.0528)
age				-0.185***	-0.121**
				(0.0667)	(0.0605)
gender					-0.00890
					(0.0741)
edu				0.206**	0.134
				(0.0952)	(0.0847)
tuk				0.0196	0.0107
				(0.0134)	(0.0112)
tus				0.0496***	0.0369***
				(0.0144)	(0.0123)
fampart				-0.0171	0.000809
				(0.0364)	(0.0376)
famgt				0.0460	0.0274
				(0.0310)	(0.0325)
dpay					0.00671***
					(0.000923)
prd2		-0.0930	-0.0930	-0.0930	0.00183
		(0.0948)	(0.0940)	(0.0900)	(0.0782)
prd3		-0.0755	-0.0755	-0.0755	0.00506
		(0.0949)	(0.0959)	(0.0941)	(0.0796)
prd4		-0.0400	-0.0400	-0.0400	0.0147
		(0.102)	(0.102)	(0.0938)	(0.0768)
prd5		-0.138	-0.138	-0.138	-0.0504
		(0.0935)	(0.0922)	(0.0879)	(0.0751)
Constant	0.0750	0.144**	0.214***	2.964***	1.901*
	(0.0484)	(0.0706)	(0.0804)	(1.070)	(0.970)
					
Observations	200	200	200	200	200
R-squared	0.007	0.019	0.033	0.156	0.414
Robust standard errors in parentheses					
*** p<0.01, ** p<0.05, * p<0.1					
