"","id","nat","age","gender","edu","tuk","tus","fampart","famgt","tg","group","period","pdmv1","pdmv2","pdt1","pdt2","role2","ugmv2","payoff2","ugt2","role1","ugmv1","payoff1","ugt1","ugcc2","ugcc1"
"1",263038,"1",22,1,4,0.416666666666667,18,2,3,0,19,3,1,0,9687,2385,0,30,0,4375,0,"45",0,7427,0.6,0.9
"2",263038,"1",22,1,4,0.416666666666667,18,2,3,0,19,2,1,1,21865,3163,0,45,55,4795,0,"36",64,17508,0.9,0.72
"3",263038,"1",22,1,4,0.416666666666667,18,2,3,0,19,4,0,0,3041,1159,0,35,0,4277,0,"25",75,5153,0.7,0.5
"4",263038,"1",22,1,4,0.416666666666667,18,2,3,0,19,1,0,1,44744,4273,0,30,0,8620,0,"40",60,14107,0.6,0.8
"5",263038,"1",22,1,4,0.416666666666667,18,2,3,0,19,5,0,0,5349,1735,0,40,60,4431,0,"35",65,8044,0.8,0.7
"6",307653,"0",21,1,3,21,1,1,4,1,2,2,1,1,6868,2158,0,40,60,27184,0,"50",50,11390,0.8,1
"7",307653,"0",21,1,3,21,1,1,4,1,2,1,1,1,17213,4043,0,2,0,9645,0,"50",50,43001,0.04,1
"8",307653,"0",21,1,3,21,1,1,4,1,2,5,1,0,1548,4559,0,40,60,8224,0,"50",50,4497,0.8,1
"9",307653,"0",21,1,3,21,1,1,4,1,2,3,1,1,3502,2614,0,40,60,7946,0,"50",50,6776,0.8,1
"10",307653,"0",21,1,3,21,1,1,4,1,2,4,1,0,2114,2313,0,20,0,5271,0,"50",50,6968,0.4,1
"11",307698,"1",21,1,4,0.25,21,3,4,0,1,4,1,0,2213,1933,0,40,60,5380,0,"20",0,5353,0.8,0.4
"12",307698,"1",21,1,4,0.25,21,3,4,0,1,5,0,0,1882,1956,0,35,0,5510,0,"30",0,6361,0.7,0.6
"13",307698,"1",21,1,4,0.25,21,3,4,0,1,1,1,1,18132,13323,0,30,0,10251,0,"10",90,50487,0.6,0.2
"14",307698,"1",21,1,4,0.25,21,3,4,0,1,2,1,1,3296,1389,0,50,50,6017,0,"10",0,4824,1,0.2
"15",307698,"1",21,1,4,0.25,21,3,4,0,1,3,1,0,2928,1659,0,45,55,5078,0,"10",0,7829,0.9,0.2
"16",307699,"1",20,0,3,0.166666666666667,12,2,1,0,1,4,1,0,2352,1428,0,48,52,3749,1,"REJECT",0,10140,0.96,0
"17",307699,"1",20,0,3,0.166666666666667,12,2,1,0,1,3,1,1,2365,3071,0,46,54,4959,1,"REJECT",0,18893,0.92,0
"18",307699,"1",20,0,3,0.166666666666667,12,2,1,0,1,5,1,1,2260,1469,0,42,58,5004,1,"REJECT",0,16767,0.84,0
"19",307699,"1",20,0,3,0.166666666666667,12,2,1,0,1,1,1,0,3888,13921,0,36,0,20298,1,"ACCEPT",10,65513,0.72,1
"20",307699,"1",20,0,3,0.166666666666667,12,2,1,0,1,2,1,0,2642,1242,0,44,56,5924,1,"REJECT",0,16752,0.88,0
"21",307820,"1",20,1,3,0.25,10,1,3,1,2,2,1,0,8333,1982,0,40,60,7032,1,"ACCEPT",50,13262,0.8,1
"22",307820,"1",20,1,3,0.25,10,1,3,1,2,3,1,0,3386,2388,0,40,60,5411,1,"ACCEPT",50,8256,0.8,1
"23",307820,"1",20,1,3,0.25,10,1,3,1,2,4,1,0,2557,3661,0,39,0,7113,1,"ACCEPT",50,8756,0.78,1
"24",307820,"1",20,1,3,0.25,10,1,3,1,2,1,1,1,17153,11148,0,25,0,13584,1,"ACCEPT",50,48373,0.5,1
"25",307820,"1",20,1,3,0.25,10,1,3,1,2,5,1,0,1738,1850,0,40,60,4647,1,"ACCEPT",50,6041,0.8,1
"26",307873,"1",20,1,3,0.333333333333333,18,1,2,1,3,4,1,0,2444,2993,0,1,0,11292,1,"ACCEPT",50,18700,0.02,1
"27",307873,"1",20,1,3,0.333333333333333,18,1,2,1,3,3,1,0,5356,7147,0,40,60,9439,1,"REJECT",0,149360,0.8,0
"28",307873,"1",20,1,3,0.333333333333333,18,1,2,1,3,5,1,0,2202,1676,0,25,0,12757,1,"REJECT",0,228555,0.5,0
"29",307873,"1",20,1,3,0.333333333333333,18,1,2,1,3,2,1,0,8007,11071,0,1,0,11335,1,"REJECT",0,117717,0.02,0
"30",307873,"1",20,1,3,0.333333333333333,18,1,2,1,3,1,1,0,17552,28647,0,1,0,17018,1,"ACCEPT",50,39846,0.02,1
"31",307874,"0",18,1,1,18,0,1,2,1,3,2,1,0,8607,9804,0,40,60,4321,0,"45",0,114840,0.8,0.9
"32",307874,"0",18,1,1,18,0,1,2,1,3,1,1,0,17730,26671,0,50,50,15411,0,"50",50,37426,1,1
"33",307874,"0",18,1,1,18,0,1,2,1,3,4,1,1,4000,3689,0,40,60,4625,0,"50",50,16869,0.8,1
"34",307874,"0",18,1,1,18,0,1,2,1,3,3,1,1,5829,20656,0,30,0,5317,0,"45",0,38767,0.6,0.9
"35",307874,"0",18,1,1,18,0,1,2,1,3,5,0,0,2011,1106,0,35,0,5568,0,"1",0,226121,0.7,0.02
"36",308188,"0",18,0,1,18.4166666666667,0.5,3,4,1,8,5,0,0,2761,1653,0,35,0,4881,1,"REJECT",0,14991,0.7,0
"37",308188,"0",18,0,1,18.4166666666667,0.5,3,4,1,8,4,1,0,2633,1655,0,40,60,5116,1,"ACCEPT",40,11657,0.8,1
"38",308188,"0",18,0,1,18.4166666666667,0.5,3,4,1,8,1,1,1,11486,3107,0,39,0,9736,1,"ACCEPT",40,43618,0.78,1
"39",308188,"0",18,0,1,18.4166666666667,0.5,3,4,1,8,3,1,0,2476,1809,0,45,55,7353,1,"ACCEPT",40,26306,0.9,1
"40",308188,"0",18,0,1,18.4166666666667,0.5,3,4,1,8,2,1,1,6032,1970,0,50,50,5880,1,"REJECT",0,38211,1,0
"41",308189,"1",20,0,3,0.25,20,3,4,0,16,3,1,0,5904,1000,0,40,60,5532,0,"46",54,11178,0.8,0.92
"42",308189,"1",20,0,3,0.25,20,3,4,0,16,2,1,1,3238,1883,0,43,57,3835,0,"48",52,7640,0.86,0.96
"43",308189,"1",20,0,3,0.25,20,3,4,0,16,1,1,1,11438,8295,0,24,0,10733,0,"41",59,24031,0.48,0.82
"44",308189,"1",20,0,3,0.25,20,3,4,0,16,4,0,0,8250,1116,0,38,0,3164,0,"50",50,7321,0.76,1
"45",308189,"1",20,0,3,0.25,20,3,4,0,16,5,0,0,9745,2839,0,42,58,4799,0,"37",63,5434,0.84,0.74
"46",308190,"1",21,1,4,0.00821917808219178,17,2,3,0,4,1,1,0,6498,16071,0,35,0,25728,1,"ACCEPT",40,32047,0.7,1
"47",308190,"1",21,1,4,0.00821917808219178,17,2,3,0,4,2,1,0,10026,4173,0,45,55,11861,1,"REJECT",0,12293,0.9,0
"48",308190,"1",21,1,4,0.00821917808219178,17,2,3,0,4,3,1,0,4300,5544,0,30,0,8004,1,"ACCEPT",40,68830,0.6,1
"49",308190,"1",21,1,4,0.00821917808219178,17,2,3,0,4,4,1,0,4353,9454,0,40,60,5793,1,"REJECT",0,25606,0.8,0
"50",308190,"1",21,1,4,0.00821917808219178,17,2,3,0,4,5,1,0,3552,3886,0,20,0,5732,1,"REJECT",0,24499,0.4,0
"51",308191,"1",21,1,3,0.010958904109589,19,2,1,0,5,5,1,1,3253,1081,0,46,54,3718,1,"REJECT",0,34810,0.92,0
"52",308191,"1",21,1,3,0.010958904109589,19,2,1,0,5,4,1,0,2170,1314,0,50,50,6975,1,"ACCEPT",9,37622,1,1
"53",308191,"1",21,1,3,0.010958904109589,19,2,1,0,5,1,1,1,9762,4731,0,51,49,14633,1,"REJECT",0,32593,0.98,0
"54",308191,"1",21,1,3,0.010958904109589,19,2,1,0,5,2,1,1,2653,1521,0,24,0,10025,1,"REJECT",0,14567,0.48,0
