"","id","nat","age","gender","edu","tuk","tus","fampart","famgt","tg","group","period","pdmv1","pdmv2","pdt1","pdt2","role2","ugmv2","payoff2","ugt2","role1","ugmv1","payoff1","ugt1","ugcc2","ugcc1"
"1",263038,"1",22,1,4,0.416666666666667,18,2,3,0,19,3,1,0,9687,2385,0,30,0,4375,0,"45",0,7427,0.6,0.9
"2",263038,"1",22,1,4,0.416666666666667,18,2,3,0,19,2,1,1,21865,3163,0,45,55,4795,0,"36",64,17508,0.9,0.72
"3",263038,"1",22,1,4,0.416666666666667,18,2,3,0,19,4,0,0,3041,1159,0,35,0,4277,0,"25",75,5153,0.7,0.5
"4",263038,"1",22,1,4,0.416666666666667,18,2,3,0,19,1,0,1,44744,4273,0,30,0,8620,0,"40",60,14107,0.6,0.8
"5",263038,"1",22,1,4,0.416666666666667,18,2,3,0,19,5,0,0,5349,1735,0,40,60,4431,0,"35",65,8044,0.8,0.7
"6",307653,"0",21,1,3,21,1,1,4,1,2,2,1,1,6868,2158,0,40,60,27184,0,"50",50,11390,0.8,1
"7",307653,"0",21,1,3,21,1,1,4,1,2,1,1,1,17213,4043,0,2,0,9645,0,"50",50,43001,0.04,1
"8",307653,"0",21,1,3,21,1,1,4,1,2,5,1,0,1548,4559,0,40,60,8224,0,"50",50,4497,0.8,1
"9",307653,"0",21,1,3,21,1,1,4,1,2,3,1,1,3502,2614,0,40,60,7946,0,"50",50,6776,0.8,1
"10",307653,"0",21,1,3,21,1,1,4,1,2,4,1,0,2114,2313,0,20,0,5271,0,"50",50,6968,0.4,1
"11",307698,"1",21,1,4,0.25,21,3,4,0,1,4,1,0,2213,1933,0,40,60,5380,0,"20",0,5353,0.8,0.4
"12",307698,"1",21,1,4,0.25,21,3,4,0,1,5,0,0,1882,1956,0,35,0,5510,0,"30",0,6361,0.7,0.6
"13",307698,"1",21,1,4,0.25,21,3,4,0,1,1,1,1,18132,13323,0,30,0,10251,0,"10",90,50487,0.6,0.2
"14",307698,"1",21,1,4,0.25,21,3,4,0,1,2,1,1,3296,1389,0,50,50,6017,0,"10",0,4824,1,0.2
"15",307698,"1",21,1,4,0.25,21,3,4,0,1,3,1,0,2928,1659,0,45,55,5078,0,"10",0,7829,0.9,0.2
"16",307874,"0",18,1,1,18,0,1,2,1,3,2,1,0,8607,9804,0,40,60,4321,0,"45",0,114840,0.8,0.9
"17",307874,"0",18,1,1,18,0,1,2,1,3,1,1,0,17730,26671,0,50,50,15411,0,"50",50,37426,1,1
"18",307874,"0",18,1,1,18,0,1,2,1,3,4,1,1,4000,3689,0,40,60,4625,0,"50",50,16869,0.8,1
"19",307874,"0",18,1,1,18,0,1,2,1,3,3,1,1,5829,20656,0,30,0,5317,0,"45",0,38767,0.6,0.9
"20",307874,"0",18,1,1,18,0,1,2,1,3,5,0,0,2011,1106,0,35,0,5568,0,"1",0,226121,0.7,0.02
"21",308189,"1",20,0,3,0.25,20,3,4,0,16,3,1,0,5904,1000,0,40,60,5532,0,"46",54,11178,0.8,0.92
"22",308189,"1",20,0,3,0.25,20,3,4,0,16,2,1,1,3238,1883,0,43,57,3835,0,"48",52,7640,0.86,0.96
"23",308189,"1",20,0,3,0.25,20,3,4,0,16,1,1,1,11438,8295,0,24,0,10733,0,"41",59,24031,0.48,0.82
"24",308189,"1",20,0,3,0.25,20,3,4,0,16,4,0,0,8250,1116,0,38,0,3164,0,"50",50,7321,0.76,1
"25",308189,"1",20,0,3,0.25,20,3,4,0,16,5,0,0,9745,2839,0,42,58,4799,0,"37",63,5434,0.84,0.74
"26",308192,"1",22,1,4,0.010958904109589,20,2,1,0,5,1,1,0,11891,11091,0,10,0,10860,0,"10",0,25443,0.2,0.2
"27",308192,"1",22,1,4,0.010958904109589,20,2,1,0,5,2,1,0,4829,10159,0,8,0,12519,0,"8",0,13128,0.16,0.16
"28",308192,"1",22,1,4,0.010958904109589,20,2,1,0,5,3,0,0,11382,8225,0,40,60,14292,0,"11",89,11206,0.8,0.22
"29",308192,"1",22,1,4,0.010958904109589,20,2,1,0,5,4,0,0,30952,5029,0,45,55,17719,0,"9",91,15359,0.9,0.18
"30",308192,"1",22,1,4,0.010958904109589,20,2,1,0,5,5,1,0,7399,2426,0,40,60,19414,0,"6",0,16045,0.8,0.12
"31",308194,"1",20,1,3,0.229166666666667,19,2,4,0,4,2,1,0,1433,3656,0,40,60,6841,0,"39",0,9816,0.8,0.78
"32",308194,"1",20,1,3,0.229166666666667,19,2,4,0,4,3,1,0,2498,3611,0,35,0,8344,0,"40",60,41583,0.7,0.8
"33",308194,"1",20,1,3,0.229166666666667,19,2,4,0,4,4,1,0,3343,2021,0,25,0,7032,0,"30",0,22800,0.5,0.6
"34",308194,"1",20,1,3,0.229166666666667,19,2,4,0,4,1,1,0,6172,12998,0,35,0,13026,0,"40",60,16259,0.7,0.8
"35",308194,"1",20,1,3,0.229166666666667,19,2,4,0,4,5,1,0,3903,1371,0,5,0,4510,0,"15",0,11620,0.1,0.3
"36",308202,"0",18,0,1,18,0.416666666666667,1,1,1,6,2,1,1,1732,2033,0,50,50,3338,0,"50",50,4582,1,1
"37",308202,"0",18,0,1,18,0.416666666666667,1,1,1,6,5,1,0,1440,1724,0,40,60,7886,0,"50",50,3263,0.8,1
"38",308202,"0",18,0,1,18,0.416666666666667,1,1,1,6,1,1,1,6805,3109,0,30,0,6321,0,"50",50,5615,0.6,1
"39",308202,"0",18,0,1,18,0.416666666666667,1,1,1,6,4,1,0,2177,1863,0,30,0,4952,0,"50",50,3393,0.6,1
"40",308202,"0",18,0,1,18,0.416666666666667,1,1,1,6,3,0,0,1114,2031,0,40,60,10202,0,"50",50,4636,0.8,1
"41",308209,"0",20,0,3,20,0.25,1,2,1,7,4,1,1,2602,2132,0,39,0,7014,0,"50",50,5245,0.78,1
"42",308209,"0",20,0,3,20,0.25,1,2,1,7,5,1,0,1701,4432,0,46,54,5870,0,"50",50,7156,0.92,1
"43",308209,"0",20,0,3,20,0.25,1,2,1,7,2,1,1,4402,4463,0,30,0,12097,0,"50",50,10914,0.6,1
"44",308209,"0",20,0,3,20,0.25,1,2,1,7,1,1,1,27166,23429,0,50,50,19553,0,"50",50,26313,1,1
"45",308209,"0",20,0,3,20,0.25,1,2,1,7,3,1,1,2075,4073,0,43,57,10918,0,"50",50,5277,0.86,1
"46",308305,"1",21,0,3,0.25,14,3,4,1,8,1,1,1,11382,6521,0,50,50,14450,0,"40",60,40168,1,0.8
"47",308305,"1",21,0,3,0.25,14,3,4,1,8,2,1,0,5759,1590,0,45,55,8277,0,"35",0,34578,0.9,0.7
"48",308305,"1",21,0,3,0.25,14,3,4,1,8,3,1,1,2770,2869,0,40,60,4657,0,"40",60,23284,0.8,0.8
"49",308305,"1",21,0,3,0.25,14,3,4,1,8,4,1,1,2548,6028,0,30,0,7582,0,"40",60,9788,0.6,0.8
"50",308305,"1",21,0,3,0.25,14,3,4,1,8,5,1,0,2425,1336,0,40,60,6657,0,"35",0,10854,0.8,0.7
"51",308318,"0",19,1,2,19.5,0,1,3,0,9,2,1,0,18077,1087,0,3,0,2994,0,"45",55,11411,0.0600000000000001,0.9
"52",308318,"0",19,1,2,19.5,0,1,3,0,9,1,1,1,88409,10228,0,2,0,10128,0,"41",59,32537,0.04,0.82
"53",308318,"0",19,1,2,19.5,0,1,3,0,9,5,0,0,12716,1342,0,26,0,3040,0,"50",50,4564,0.52,1
"54",308318,"0",19,1,2,19.5,0,1,3,0,9,4,1,0,3324,1378,0,11,0,2731,0,"50",50,10868,0.22,1
"55",308318,"0",19,1,2,19.5,0,1,3,0,9,3,1,0,10284,1989,0,20,0,2204,0,"50",50,18830,0.4,1
