	(1)	(2)	(3)	(4)	(5)
VARIABLES	N	mean	sd	min	max
					
v1	40	20.50	11.69	1	40
id	40	307,216	7,172	263,038	308,956
nat	40	0.550	0.504	0	1
age	40	19.80	1.224	18	23
gender	40	0.575	0.501	0	1
edu	40	2.450	1.154	1	5
tuk	40	8.366	9.237	0.00822	21
tus	40	10.15	9.495	0	23
fampart	40	1.825	1.035	1	4
famgt	40	2.600	1.008	1	4
tg	40	0.400	0.496	0	1
pdcomp1	40	453.8	86.52	150	550
pdcomp2	40	411.2	104.7	200	650
isecon	40	0.150	0.362	0	1
isling	40	0.0500	0.221	0	1
isstem	40	0.300	0.464	0	1
isss	40	0.475	0.506	0	1
ishum	40	0.275	0.452	0	1
group	40	10.50	5.840	1	20
pdcc1	40	0.815	0.273	0	1
pdcc2	40	0.365	0.260	0	0.800
role	40	0.500	0.506	0	1
ugcc1	40	0.778	0.271	0.148	1
ugcc2	40	0.720	0.173	0.200	0.948
ugcomp1	40	195	75.42	10	278
ugcomp2	40	167.3	67.71	0	290
					
