"","id","pdcc1","pdcc2"
"1",263038,0.4,0.4
"2",307653,1,0.6
"3",307698,0.8,0.4
"4",307699,1,0.4
"5",307820,1,0.2
"6",307873,1,0
"7",307874,0.8,0.4
"8",308188,0.8,0.4
"9",308189,0.6,0.4
"10",308190,1,0
"11",308191,0.8,0.6
"12",308192,0.6,0
"13",308194,1,0
"14",308202,0.8,0.4
"15",308207,0.8,0.4
"16",308208,1,0.4
"17",308209,1,0.8
"18",308305,1,0.6
"19",308318,0.8,0.2
"20",308371,0.8,0.4
"21",308373,1,0.6
"22",308374,0.8,0.6
"23",308375,1,0.4
"24",308405,0,0
"25",308467,0.8,0.4
"26",308536,0.8,0.4
"27",308537,0,0
"28",308552,1,0.4
"29",308553,0.8,0.2
"30",308590,1,0.6
"31",308591,1,0.8
"32",308600,1,0
"33",308601,0.8,0.6
"34",308643,0.8,0.8
"35",308645,1,0.4
"36",308653,0.8,0.6
"37",308780,1,0.8
"38",308859,0,0
"39",308947,1,0
"40",308956,1,0
